Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
D2Q11,2011-08-10,-1678.623,-1678.623,-1678.623,-1678.623,0.809,-0.05%,30,1241
D2Q11,2011-08-09,-1679.432,-1679.432,-1679.432,-1679.432,0.191,-0.01%,0,1211
D2Q11,2011-08-08,-1679.623,-1679.623,-1679.623,-1679.623,-1.333,+0.08%,0,1211
D2Q11,2011-08-05,-1678.29,-1678.29,-1678.29,-1678.29,-6.334,+0.38%,40,1211
D2Q11,2011-08-04,-1671.956,-1671.956,-1671.956,-1671.956,0.095,-0.01%,0,1201
D2Q11,2011-08-03,-1672.051,-1672.051,-1672.051,-1672.051,-0.666,+0.04%,30,1201
D2Q11,2011-08-02,-1671.385,-1671.385,-1671.385,-1671.385,-5.476,+0.33%,0,1201
D2Q11,2011-08-01,-1665.909,-1665.909,-1665.909,-1665.909,-0.048,0.00%,0,1201
D2Q11,2011-07-29,-1665.861,-1665.861,-1665.861,-1665.861,0,0.00%,30,1693
D2Q11,2011-07-28,-1665.861,-1665.861,-1665.861,-1665.861,-3.,+0.18%,20,1663
D2Q11,2011-07-27,-1662.861,-1662.861,-1662.861,-1662.861,5,-0.30%,32,1663
D2Q11,2011-07-26,-1667.861,-1667.861,-1667.861,-1667.861,0,0.00%,20,1631
D2Q11,2011-07-25,-1667.861,-1667.861,-1667.861,-1667.861,0,0.00%,60,1621
D2N11,2011-07-22,-1667.861,-1667.861,-1667.861,-1667.861,0.047,0.00%,0,1596
D2N11,2011-07-21,-1667.908,-1667.908,-1667.908,-1667.908,0.048,0.00%,40,1596
D2N11,2011-07-20,-1667.956,-1667.956,-1667.956,-1667.956,0.464,-0.03%,90,1556
D2N11,2011-07-19,-1668.42,-1668.42,-1668.42,-1668.42,0.56,-0.03%,67,1536
D2N11,2011-07-18,-1668.98,-1668.98,-1668.98,-1668.98,0.178,-0.01%,0,1486
D2N11,2011-07-15,-1669.158,-1669.158,-1669.158,-1669.158,0.227,-0.01%,60,1486
D2N11,2011-07-14,-1669.385,-1669.385,-1669.385,-1669.385,0.25,-0.01%,115,1456
D2N11,2011-07-13,-1669.635,-1669.635,-1669.635,-1669.635,2.131,-0.13%,0,1416
D2N11,2011-07-12,-1671.766,-1671.766,-1671.766,-1671.766,-1.667,+0.10%,50,1416
D2N11,2011-07-11,-1670.099,-1670.099,-1670.099,-1670.099,3.095,-0.18%,0,1454
D2N11,2011-07-08,-1673.194,-1673.194,-1673.194,-1673.194,10.238,-0.61%,120,1484
D2N11,2011-07-07,-1683.432,-1683.432,-1683.432,-1683.432,6.476,-0.38%,12,1394
D2N11,2011-07-06,-1689.908,-1689.908,-1689.908,-1689.908,0.048,0.00%,30,1382
D2N11,2011-07-05,-1689.956,-1689.956,-1689.956,-1689.956,3.81,-0.22%,80,1352
D2N11,2011-07-01,-1693.766,-1693.766,-1693.766,-1693.766,3.19,-0.19%,0,1332
D2N11,2011-06-30,-1696.956,-1696.956,-1696.956,-1696.956,-13.,+0.77%,0,1332
